City,Temperature,Humidity,Pressure,Datetime
Mumbai,35.99,20,1011,2026-03-23 12:00:28
Delhi,22.05,68,1013,2026-03-23 12:00:28
Bangalore,29.51,44,1013,2026-03-23 12:00:28
Chennai,32.01,62,1013,2026-03-23 12:00:29
Kolkata,29.97,45,1012,2026-03-23 12:00:29
Hyderabad,31.23,37,1012,2026-03-23 12:00:29
London,4.38,87,1019,2026-03-23 12:00:29
Manchester,4.65,87,1020,2026-03-23 12:00:29
Paris,4.72,91,1018,2026-03-23 12:00:29
Berlin,4.79,76,1018,2026-03-23 12:00:30
Madrid,6.41,71,1014,2026-03-23 12:00:30
Rome,19.99,64,1013,2026-03-23 12:00:31
Amsterdam,4.91,89,1018,2026-03-23 12:00:31
Brussels,4.55,90,1018,2026-03-23 12:00:31
Vienna,5.32,66,1016,2026-03-23 12:00:31
Zurich,4.92,87,1016,2026-03-23 12:00:31
Stockholm,3.98,73,1009,2026-03-23 12:00:31
Oslo,3.09,84,1010,2026-03-23 12:00:32
Copenhagen,1.55,94,1017,2026-03-23 12:00:32
Helsinki,2.22,87,1011,2026-03-23 12:00:32
New York,10.44,92,1005,2026-03-23 12:00:32
Los Angeles,17.05,85,1013,2026-03-23 12:00:32
Chicago,0.08,79,1022,2026-03-23 12:00:32
Houston,19.43,87,1015,2026-03-23 12:00:33
Phoenix,29.1,16,1008,2026-03-23 12:00:33
San Antonio,19.08,74,1015,2026-03-23 12:00:33
San Diego,16.46,90,1012,2026-03-23 12:00:33
Dallas,22.18,53,1015,2026-03-23 12:00:33
San Jose,13.85,76,1016,2026-03-23 12:00:34
San Francisco,11.74,75,1016,2026-03-23 12:00:34
Toronto,0.98,75,1014,2026-03-23 12:00:35
Vancouver,3.88,78,1024,2026-03-23 12:00:35
Montreal,-6.3,88,1014,2026-03-23 12:00:35
Mexico City,14.97,44,1015,2026-03-23 12:00:35
Guadalajara,16.87,45,1016,2026-03-23 12:00:35
Tokyo,17.06,42,1011,2026-03-23 12:00:36
Osaka,17.09,52,1014,2026-03-23 12:00:36
Seoul,18.76,20,1019,2026-03-23 12:00:36
Busan,17.99,39,1018,2026-03-23 12:00:36
Beijing,17.94,26,1021,2026-03-23 12:00:36
Shanghai,15.92,59,1019,2026-03-23 12:00:37
Shenzhen,24.45,89,1013,2026-03-23 12:00:37
Guangzhou,27.93,53,1013,2026-03-23 12:00:37
Bangkok,35.88,57,1010,2026-03-23 12:00:37
Jakarta,33.35,52,1008,2026-03-23 12:00:37
Manila,31.47,57,1010,2026-03-23 12:00:37
Singapore,32.26,52,1010,2026-03-23 12:00:38
Kuala Lumpur,34.58,69,1010,2026-03-23 12:00:38
Dubai,26.19,62,1013,2026-03-23 12:00:38
Abu Dhabi,22.75,100,1013,2026-03-23 12:00:38
Riyadh,24.48,48,1011,2026-03-23 12:00:38
Doha,22.97,71,1012,2026-03-23 12:00:38
Istanbul,8.76,86,1013,2026-03-23 12:00:39
Sydney,25.9,69,1019,2026-03-23 12:00:39
Melbourne,17.2,73,1018,2026-03-23 12:00:39
Brisbane,26.34,67,1015,2026-03-23 12:00:40
Perth,25.07,46,1015,2026-03-23 12:00:40
Auckland,18.1,69,1028,2026-03-23 12:00:40
Wellington,16.42,76,1028,2026-03-23 12:00:40
Sao Paulo,21.14,84,1014,2026-03-23 12:00:40
Rio de Janeiro,22.99,92,1012,2026-03-23 12:00:40
Buenos Aires,19.31,76,1013,2026-03-23 12:00:41
Santiago,15.74,57,1019,2026-03-23 12:00:42
Lima,21.61,84,1012,2026-03-23 12:00:42
Bogota,15.05,84,1016,2026-03-23 12:00:42
Cape Town,20.1,68,1015,2026-03-23 12:00:42
Johannesburg,17.35,98,1019,2026-03-23 12:00:43
Cairo,17.42,51,1011,2026-03-23 12:00:43
Lagos,26.45,88,1008,2026-03-23 12:00:43
Nairobi,18.62,88,1016,2026-03-23 12:00:44
Casablanca,15.19,87,1010,2026-03-23 12:00:44
Accra,26.23,94,1008,2026-03-23 12:00:44
Addis Ababa,16.01,68,1016,2026-03-23 12:00:44
Algiers,11.57,51,1013,2026-03-23 12:00:45
Tunis,13.49,77,1012,2026-03-23 12:00:46
Athens,11.15,75,1012,2026-03-23 12:00:46
Budapest,8.97,57,1016,2026-03-23 12:00:47
Prague,3.23,79,1017,2026-03-23 12:00:47
Warsaw,5.39,69,1019,2026-03-23 12:00:47
Lisbon,12.16,77,1013,2026-03-23 12:00:47
Karachi,28.9,48,1013,2026-03-23 12:00:48
Dhaka,25.99,57,1013,2026-03-23 12:00:48
Colombo,32.8,61,1011,2026-03-23 12:00:49
Kathmandu,21.12,43,1012,2026-03-23 12:00:49
Tashkent,19.46,48,1018,2026-03-23 12:00:50
Seattle,5.61,78,1023,2026-03-23 12:00:50
Boston,2.69,88,1009,2026-03-23 12:00:50
Philadelphia,13.11,84,1004,2026-03-23 12:00:50
Detroit,1.36,85,1016,2026-03-23 12:00:51
Anchorage,-3.07,71,1017,2026-03-23 12:00:51
Quito,9.53,91,1017,2026-03-23 12:00:51
La Paz,8.99,93,1016,2026-03-23 12:00:51
Montevideo,18.37,79,1012,2026-03-23 12:00:51
Asuncion,27.36,85,1006,2026-03-23 12:00:52
Caracas,25.83,78,1012,2026-03-23 12:00:52
Dar es Salaam,23.68,94,1014,2026-03-23 12:00:52
Kampala,19.99,86,1013,2026-03-23 12:00:52
Harare,17.27,89,1018,2026-03-23 12:00:53
Dakar,19.58,87,1011,2026-03-23 12:00:54
Tripoli,15.92,77,1010,2026-03-23 12:00:54
Mumbai,34.99,36,1009,2026-03-23 13:08:56
Delhi,24.05,60,1011,2026-03-23 13:08:56
Bangalore,30.64,39,1010,2026-03-23 13:08:57
Chennai,32.18,62,1011,2026-03-23 13:08:57
Kolkata,29.97,39,1010,2026-03-23 13:08:57
Hyderabad,32.23,33,1009,2026-03-23 13:08:57
London,5.68,86,1020,2026-03-23 13:08:58
Manchester,4.68,90,1021,2026-03-23 13:08:58
Paris,7.0,87,1019,2026-03-23 13:08:59
Berlin,8.25,70,1018,2026-03-23 13:08:59
Madrid,7.38,67,1015,2026-03-23 13:08:59
Rome,19.71,64,1013,2026-03-23 13:08:59
Amsterdam,7.78,86,1019,2026-03-23 13:09:00
Brussels,6.09,95,1019,2026-03-23 13:09:00
Vienna,8.67,59,1017,2026-03-23 13:09:02
Zurich,6.39,86,1018,2026-03-23 13:09:02
Stockholm,5.7,71,1010,2026-03-23 13:09:02
Oslo,4.2,81,1010,2026-03-23 13:09:03
Copenhagen,5.49,85,1017,2026-03-23 13:09:03
Helsinki,5.05,78,1011,2026-03-23 13:09:03
New York,9.79,89,1005,2026-03-23 13:09:03
Los Angeles,16.29,89,1012,2026-03-23 13:09:03
Chicago,-0.01,79,1024,2026-03-23 13:09:04
Houston,19.08,91,1016,2026-03-23 13:09:04
Phoenix,27.7,17,1009,2026-03-23 13:09:04
San Antonio,17.96,80,1015,2026-03-23 13:09:04
San Diego,16.41,90,1012,2026-03-23 13:09:04
Dallas,20.9,56,1015,2026-03-23 13:09:05
San Jose,12.85,78,1016,2026-03-23 13:09:05
San Francisco,11.5,76,1016,2026-03-23 13:09:05
Toronto,0.61,79,1015,2026-03-23 13:09:07
Vancouver,3.38,81,1024,2026-03-23 13:09:07
Montreal,-6.05,89,1015,2026-03-23 13:09:08
Mexico City,13.86,47,1014,2026-03-23 13:09:08
Guadalajara,15.87,48,1016,2026-03-23 13:09:09
Tokyo,15.96,52,1012,2026-03-23 13:09:09
Osaka,17.39,50,1015,2026-03-23 13:09:09
Seoul,17.76,27,1018,2026-03-23 13:09:09
Busan,16.99,39,1019,2026-03-23 13:09:10
Beijing,16.94,21,1019,2026-03-23 13:09:10
Shanghai,15.92,59,1018,2026-03-23 13:09:10
Shenzhen,26.31,81,1012,2026-03-23 13:09:11
Guangzhou,28.39,47,1010,2026-03-23 13:09:12
Bangkok,34.84,52,1008,2026-03-23 13:09:12
Jakarta,32.17,63,1007,2026-03-23 13:09:12
Manila,31.68,57,1009,2026-03-23 13:09:12
Singapore,32.44,54,1008,2026-03-23 13:09:14
Kuala Lumpur,31.23,43,1007,2026-03-23 13:09:14
Dubai,25.99,64,1013,2026-03-23 13:09:14
Abu Dhabi,23.71,75,1013,2026-03-23 13:09:14
Riyadh,27.71,36,1010,2026-03-23 13:09:15
Doha,23.97,69,1012,2026-03-23 13:09:16
Istanbul,7.36,93,1013,2026-03-23 13:09:16
Sydney,24.12,75,1020,2026-03-23 13:09:16
Melbourne,16.54,74,1017,2026-03-23 13:09:17
Brisbane,25.39,70,1016,2026-03-23 13:09:17
Perth,25.21,45,1014,2026-03-23 13:09:17
Auckland,18.48,66,1029,2026-03-23 13:09:17
Wellington,14.51,75,1029,2026-03-23 13:09:17
Sao Paulo,20.71,84,1014,2026-03-23 13:09:18
Rio de Janeiro,22.99,92,1012,2026-03-23 13:09:18
Buenos Aires,18.94,78,1012,2026-03-23 13:09:18
Santiago,15.51,56,1019,2026-03-23 13:09:18
Lima,21.61,85,1011,2026-03-23 13:09:19
Bogota,15.05,84,1015,2026-03-23 13:09:19
Cape Town,21.8,63,1015,2026-03-23 13:09:19
Johannesburg,17.82,96,1019,2026-03-23 13:09:20
Cairo,18.42,45,1011,2026-03-23 13:09:20
Lagos,29.74,72,1010,2026-03-23 13:09:21
Nairobi,18.93,82,1016,2026-03-23 13:09:21
Casablanca,15.19,82,1011,2026-03-23 13:09:21
Accra,27.23,89,1010,2026-03-23 13:09:21
Addis Ababa,17.49,63,1015,2026-03-23 13:09:22
Algiers,11.57,51,1014,2026-03-23 13:09:22
Tunis,14.85,67,1013,2026-03-23 13:09:22
Athens,12.07,72,1013,2026-03-23 13:09:22
Budapest,10.5,53,1017,2026-03-23 13:09:22
Prague,6.03,72,1018,2026-03-23 13:09:23
Warsaw,8.35,54,1019,2026-03-23 13:09:23
Lisbon,12.14,79,1013,2026-03-23 13:09:23
Karachi,30.9,42,1012,2026-03-23 13:09:23
Dhaka,25.99,57,1010,2026-03-23 13:09:23
Colombo,32.8,60,1009,2026-03-23 13:09:24
Kathmandu,22.12,46,1012,2026-03-23 13:09:24
Tashkent,20.2,44,1017,2026-03-23 13:09:24
Seattle,5.1,80,1023,2026-03-23 13:09:25
Boston,2.47,88,1009,2026-03-23 13:09:25
Philadelphia,13.09,86,1004,2026-03-23 13:09:25
Detroit,1.24,84,1017,2026-03-23 13:09:25
Anchorage,-4.65,75,1018,2026-03-23 13:09:28
Quito,9.53,93,1015,2026-03-23 13:09:28
La Paz,8.99,100,1016,2026-03-23 13:09:28
Montevideo,18.37,81,1012,2026-03-23 13:09:28
Asuncion,27.36,85,1006,2026-03-23 13:09:28
Caracas,25.02,82,1013,2026-03-23 13:09:28
Dar es Salaam,28.21,78,1014,2026-03-23 13:09:29
Kampala,25.88,56,1012,2026-03-23 13:09:31
Harare,22.12,76,1017,2026-03-23 13:09:31
Dakar,19.58,84,1012,2026-03-23 13:09:32
Tripoli,14.92,77,1012,2026-03-23 13:09:33
Mumbai,35.99,34,1009,2026-03-23 14:01:04
Delhi,25.05,57,1010,2026-03-23 14:01:04
Bangalore,30.92,38,1010,2026-03-23 14:01:04
Chennai,31.99,63,1011,2026-03-23 14:01:04
Kolkata,30.97,37,1010,2026-03-23 14:01:05
Hyderabad,32.23,33,1009,2026-03-23 14:01:05
London,6.79,86,1020,2026-03-23 14:01:05
Manchester,5.34,89,1021,2026-03-23 14:01:05
Paris,7.86,87,1019,2026-03-23 14:01:06
Berlin,10.75,62,1018,2026-03-23 14:01:06
Madrid,8.51,64,1015,2026-03-23 14:01:06
Rome,19.65,63,1012,2026-03-23 14:01:06
Amsterdam,9.69,69,1020,2026-03-23 14:01:07
Brussels,8.23,92,1019,2026-03-23 14:01:07
Vienna,10.75,54,1017,2026-03-23 14:01:07
Zurich,7.2,83,1018,2026-03-23 14:01:07
Stockholm,6.09,72,1010,2026-03-23 14:01:07
Oslo,3.09,83,1010,2026-03-23 14:01:08
Copenhagen,6.84,75,1017,2026-03-23 14:01:08
Helsinki,5.3,76,1011,2026-03-23 14:01:08
New York,9.0,90,1005,2026-03-23 14:01:08
Los Angeles,16.11,90,1012,2026-03-23 14:01:08
Chicago,0.0,80,1023,2026-03-23 14:01:09
Houston,18.67,91,1015,2026-03-23 14:01:09
Phoenix,26.95,18,1009,2026-03-23 14:01:09
San Antonio,17.37,84,1015,2026-03-23 14:01:09
San Diego,16.36,90,1012,2026-03-23 14:01:09
Dallas,19.4,56,1015,2026-03-23 14:01:09
San Jose,12.28,80,1017,2026-03-23 14:01:10
San Francisco,11.21,77,1016,2026-03-23 14:01:10
Toronto,0.47,77,1015,2026-03-23 14:01:10
Vancouver,2.7,83,1023,2026-03-23 14:01:10
Montreal,-6.29,89,1014,2026-03-23 14:01:11
Mexico City,12.75,50,1018,2026-03-23 14:01:11
Guadalajara,12.87,62,1016,2026-03-23 14:01:11
Tokyo,15.58,51,1012,2026-03-23 14:01:11
Osaka,17.03,47,1014,2026-03-23 14:01:11
Seoul,16.76,39,1018,2026-03-23 14:01:11
Busan,14.99,41,1019,2026-03-23 14:01:12
Beijing,17.94,21,1019,2026-03-23 14:01:12
Shanghai,15.92,55,1018,2026-03-23 14:01:12
Shenzhen,25.81,81,1012,2026-03-23 14:01:12
Guangzhou,28.19,53,1010,2026-03-23 14:01:12
Bangkok,34.84,57,1007,2026-03-23 14:01:13
Jakarta,31.65,65,1007,2026-03-23 14:01:13
Manila,31.02,60,1009,2026-03-23 14:01:13
Singapore,32.26,54,1008,2026-03-23 14:01:13
Kuala Lumpur,31.79,42,1007,2026-03-23 14:01:13
Dubai,24.43,73,1014,2026-03-23 14:01:14
Abu Dhabi,23.5,74,1013,2026-03-23 14:01:14
Riyadh,27.53,39,1012,2026-03-23 14:01:14
Doha,23.97,71,1012,2026-03-23 14:01:14
